# Time,IC-RP,norm_IC-RP,nrm_var_IC-RP,IMS-RP,IMS-RP step,VAR,EC-RP,norm_EC-RP,nrm_var_EC-RP
180,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4451,0.0020,0.0003
360,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4460,0.0018,0.0003
540,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4459,0.0015,0.0003
720,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4458,0.0051,0.0003
900,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4474,0.0038,0.0002
1080,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4468,0.0042,0.0002
1260,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4470,0.0057,0.0003
1440,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4477,0.0022,0.0004
1620,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4461,0.0027,0.0004
1800,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4463,0.0071,0.0004
1980,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4483,0.0027,0.0005
2160,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4463,0.0060,0.0005
2340,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4478,0.0060,0.0005
2520,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4478,0.0064,0.0006
2700,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4480,0.0068,0.0007
2880,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4482,0.0046,0.0007
3060,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4472,0.0075,0.0008
3240,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4485,0.0091,0.0012
3420,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4492,0.0115,0.0009
3600,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4503,0.0144,0.0010
3780,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4516,0.0106,0.0009
3960,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4499,0.0077,0.0012
4140,0.7063,0.0000,0.0006,0.0000,0.0000,1.0000,0.4486,0.0110,0.0011
4320,0.7081,0.0035,0.0042,0.0000,0.0000,1.0000,0.4501,0.0086,0.0012
4500,0.7151,0.0170,0.0047,0.0000,0.0000,1.0000,0.4490,0.0128,0.0010
4680,0.7159,0.0186,0.0046,0.0000,0.0000,1.0000,0.4509,0.0177,0.0011
4860,0.7170,0.0207,0.0053,0.0000,0.0000,1.0000,0.4531,0.0194,0.0014
5040,0.7223,0.0310,0.0051,0.0000,0.0000,1.0000,0.4539,0.0188,0.0015
5220,0.7245,0.0352,0.0063,0.0000,0.0000,1.0000,0.4536,0.0168,0.0021
5400,0.7313,0.0484,0.0078,0.0000,0.0000,1.0000,0.4527,0.0199,0.0019
5580,0.7347,0.0550,0.0082,0.0000,0.0000,1.0000,0.4541,0.0241,0.0049
5760,0.7414,0.0680,0.0075,0.0000,0.0000,1.0000,0.4560,0.0230,0.0079
5940,0.7440,0.0730,0.0067,0.0000,0.0000,1.0000,0.4555,0.0252,0.0097
6120,0.7446,0.0742,0.0142,0.0000,0.0000,1.0000,0.4565,0.0289,0.0103
6300,0.7614,0.1067,0.0104,0.0000,0.0000,1.0000,0.4582,0.0309,0.0114
6480,0.7598,0.1036,0.0094,0.0000,0.0000,1.0000,0.4591,0.0362,0.0093
6660,0.7677,0.1189,0.0121,0.0000,0.0000,1.0000,0.4615,0.0386,0.0096
6840,0.7812,0.1450,0.0083,0.0000,0.0000,1.0000,0.4626,0.0391,0.0103
7020,0.7906,0.1632,0.0064,0.0000,0.0000,1.0000,0.4628,0.0446,0.0090
7200,0.7877,0.1576,0.0056,0.0000,0.0000,1.0000,0.4653,0.0519,0.0084
7380,0.7982,0.1779,0.0054,0.0000,0.0000,1.0000,0.4686,0.0541,0.0075
7560,0.8043,0.1897,0.0052,0.0000,0.0000,1.0000,0.4696,0.0583,0.0077
7740,0.8217,0.2234,0.0063,0.0000,0.0000,1.0000,0.4715,0.0543,0.0087
7920,0.8239,0.2277,0.0020,0.0000,0.0000,1.0000,0.4697,0.0601,0.0074
8100,0.8321,0.2436,0.0028,0.0000,0.0000,1.0000,0.4723,0.0634,0.0076
8280,0.8526,0.2833,0.0037,0.0000,0.0000,1.0000,0.4738,0.0676,0.0067
8460,0.8571,0.2920,0.0037,0.0000,0.0000,1.0000,0.4757,0.0674,0.0069
8640,0.8643,0.3059,0.0095,0.0000,0.0000,1.0000,0.4756,0.0718,0.0064
8820,0.8758,0.3282,0.0105,0.0000,0.0000,1.0000,0.4776,0.0709,0.0085
9000,0.8819,0.3400,0.0044,0.0000,0.0000,1.0000,0.4772,0.0738,0.0106
9180,0.9020,0.3789,0.0095,0.0000,0.0000,1.0000,0.4785,0.0875,0.0115
9360,0.9091,0.3926,0.0061,0.0000,0.0000,1.0000,0.4847,0.0961,0.0113
9540,0.9165,0.4070,0.0080,0.0025,0.0000,1.0000,0.4886,0.1073,0.0123
9720,0.9264,0.4261,0.0055,0.1192,0.0000,1.0000,0.4937,0.1182,0.0125
9900,0.9490,0.4699,0.0062,0.8808,1.0000,1.0000,0.4986,0.2178,0.0122
10080,0.9783,0.5266,0.0073,0.9975,1.0000,1.0000,0.5437,0.3894,0.0132
10260,1.0285,0.6238,0.0085,1.0000,1.0000,1.0000,0.6214,0.5512,0.0150
10440,1.0640,0.6925,0.0077,1.0000,1.0000,1.0000,0.6947,0.6617,0.0140
10620,1.0995,0.7613,0.0074,1.0000,1.0000,1.0000,0.7447,0.7705,0.0140
10800,1.1242,0.8091,0.0085,1.0000,1.0000,1.0000,0.7940,0.8390,0.0146
10980,1.1574,0.8734,0.0090,1.0000,1.0000,1.0000,0.8250,0.9145,0.0130
11160,1.1848,0.9264,0.0071,1.0000,1.0000,1.0000,0.8592,0.9832,0.0131
11340,1.2063,0.9681,0.0067,1.0000,1.0000,1.0000,0.8903,1.0000,0.0095
11520,1.2228,1.0000,0.0063,1.0000,1.0000,1.0000,0.8979,1.0000,0.0052
11700,1.2305,1.0000,0.0063,1.0000,1.0000,1.0000,0.9218,1.0000,0.0063
11880,1.2433,1.0000,0.0063,1.0000,1.0000,1.0000,0.9297,1.0000,0.0059
12060,1.2493,1.0000,0.0063,1.0000,1.0000,1.0000,0.9343,1.0000,0.0053
12240,1.2633,1.0000,0.0063,1.0000,1.0000,1.0000,0.9508,1.0000,0.0047
12420,1.2638,1.0000,0.0063,1.0000,1.0000,1.0000,0.9649,1.0000,0.0039
12600,1.2782,1.0000,0.0063,1.0000,1.0000,1.0000,0.9727,1.0000,0.0034
12780,1.2764,1.0000,0.0063,1.0000,1.0000,1.0000,0.9803,1.0000,0.0046
12960,1.2763,1.0000,0.0063,1.0000,1.0000,1.0000,0.9777,1.0000,0.0047
13140,1.2678,1.0000,0.0063,1.0000,1.0000,1.0000,0.9860,1.0000,0.0057
13320,1.2664,1.0000,0.0063,1.0000,1.0000,1.0000,0.9930,1.0000,0.0055
13500,1.2773,1.0000,0.0063,1.0000,1.0000,1.0000,1.0017,1.0000,0.0052
13680,1.2999,1.0000,0.0063,1.0000,1.0000,1.0000,1.0034,1.0000,0.0053
13860,1.2912,1.0000,0.0063,1.0000,1.0000,1.0000,1.0061,1.0000,0.0065
14040,1.2914,1.0000,0.0063,1.0000,1.0000,1.0000,1.0028,1.0000,0.0054
14220,1.2896,1.0000,0.0063,1.0000,1.0000,1.0000,1.0190,1.0000,0.0061
14400,1.3143,1.0000,0.0063,1.0000,1.0000,1.0000,1.0266,1.0000,0.0074
14580,1.3101,1.0000,0.0063,1.0000,1.0000,1.0000,1.0267,1.0000,0.0068
14760,1.2957,1.0000,0.0063,1.0000,1.0000,1.0000,1.0368,1.0000,0.0078
14940,1.2769,1.0000,0.0063,1.0000,1.0000,1.0000,1.0407,1.0000,0.0061
15120,1.2766,1.0000,0.0063,1.0000,1.0000,1.0000,1.0427,1.0000,0.0050
15300,1.2830,1.0000,0.0063,1.0000,1.0000,1.0000,1.0394,1.0000,0.0058
15480,1.2824,1.0000,0.0063,1.0000,1.0000,1.0000,1.0415,1.0000,0.0068
15660,1.2606,1.0000,0.0063,1.0000,1.0000,1.0000,1.0438,1.0000,0.0062
15840,1.2601,1.0000,0.0063,1.0000,1.0000,1.0000,1.0539,1.0000,0.0064
16020,1.2720,1.0000,0.0063,1.0000,1.0000,1.0000,1.0537,1.0000,0.0078
16200,1.2635,1.0000,0.0063,1.0000,1.0000,1.0000,1.0445,1.0000,0.0065
16380,1.2384,1.0000,0.0063,1.0000,1.0000,1.0000,1.0530,1.0000,0.0066
16560,1.2434,1.0000,0.0063,1.0000,1.0000,1.0000,1.0614,1.0000,0.0062
16740,1.2677,1.0000,0.0063,1.0000,1.0000,1.0000,1.0618,1.0000,0.0067
16920,1.2650,1.0000,0.0063,1.0000,1.0000,1.0000,1.0684,1.0000,0.0074
17100,1.2595,1.0000,0.0063,1.0000,1.0000,1.0000,1.0688,1.0000,0.0070
17280,1.2565,1.0000,0.0063,1.0000,1.0000,1.0000,1.0669,1.0000,0.0060
17460,1.2476,1.0000,0.0063,1.0000,1.0000,1.0000,1.0731,1.0000,0.0062
17640,1.2432,1.0000,0.0063,1.0000,1.0000,1.0000,1.0749,1.0000,0.0060
17820,1.2617,1.0000,0.0063,1.0000,1.0000,1.0000,1.0861,1.0000,0.0064
18000,1.2494,1.0000,0.0063,1.0000,1.0000,1.0000,1.0929,1.0000,0.0063
18180,1.2561,1.0000,0.0063,1.0000,1.0000,1.0000,1.0973,1.0000,0.0073
18360,1.2519,1.0000,0.0063,1.0000,1.0000,1.0000,1.1062,1.0000,0.0073
18540,1.2578,1.0000,0.0063,1.0000,1.0000,1.0000,1.1075,1.0000,0.0073
18720,1.2568,1.0000,0.0063,1.0000,1.0000,1.0000,1.1091,1.0000,0.0073
18900,1.2688,1.0000,0.0063,1.0000,1.0000,1.0000,1.1068,1.0000,0.0073
19080,1.2505,1.0000,0.0063,1.0000,1.0000,1.0000,1.1185,1.0000,0.0073
19260,1.2490,1.0000,0.0063,1.0000,1.0000,1.0000,1.1227,1.0000,0.0073
19440,1.2533,1.0000,0.0063,1.0000,1.0000,1.0000,1.1263,1.0000,0.0073
19620,1.2579,1.0000,0.0063,1.0000,1.0000,1.0000,1.1257,1.0000,0.0073
19800,1.2531,1.0000,0.0063,1.0000,1.0000,1.0000,1.1248,1.0000,0.0073
19980,1.2571,1.0000,0.0063,1.0000,1.0000,1.0000,1.1257,1.0000,0.0073
20160,1.2580,1.0000,0.0063,1.0000,1.0000,1.0000,1.1276,1.0000,0.0073
